Step,ModifierName,Factor,ListType,PlanType,Activity,Value,Min,Max,AllStates,WAState
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Very Confident,0.85,0.0,0.0,"No merger, acquisition, or divestiture activity in the past 10+ years or expected in the future.","No merger, acquisition, or divestiture activity in the past 10+ years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Confident,0.95,0.0,0.0,"No merger, acquisition, or divestiture activity in the past 5 – 10 years or expected in the future.","No merger, acquisition, or divestiture activity in the past 5 – 10 years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Comfortable or Not Applicable,1.0,0.0,0.0,"No significant merger, acquisition, or divestiture activity in the past 1 – 5 years or expected in the future.","No significant merger, acquisition, or divestiture activity in the past 1 – 5 years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Low Concern,1.05,0.0,0.0,"No significant merger, acquisition, or divestiture activity within the last year and/or low-level activity expected in the future.","No significant merger, acquisition, or divestiture activity within the last year and/or low-level activity expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Material Concern,1.15,0.0,0.0,"Unsuccessful significant merger, acquisition, or divestiture activity in the past 3 – 5 years and/or activity expected in the future.","Unsuccessful significant merger, acquisition, or divestiture activity in the past 3 – 5 years and/or activity expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,High Concern,1.25,0.0,0.0,"Unsuccessful significant merger, acquisition, or divestiture activity in the past 2 – 3 years and/or significant activity expected in the future.","Unsuccessful significant merger, acquisition, or divestiture activity in the past 2 – 3 years and/or significant activity expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,True,No Range,Very High to Severe Concern,1.4,0.0,0.0,"Unsuccessful significant merger, acquisition, or divestiture activity within the last 2 years and/or very significant activity expected in the future.","Unsuccessful significant merger, acquisition, or divestiture activity within the last 2 years and/or very significant activity expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,False,No Range,Very Confident,0.85,0.0,0.0,"No merger, acquisition, or divestiture activity in the past 10+ years or expected in the future.","No merger, acquisition, or divestiture activity in the past 10+ years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,False,No Range,Confident,0.95,0.0,0.0,"No merger, acquisition, or divestiture activity in the past 5 – 10 years or expected in the future.","No merger, acquisition, or divestiture activity in the past 5 – 10 years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
3,step_3_mam,Merger and Acquisition Activity,False,No Range,Comfortable or Not Applicable,1.0,0.0,0.0,"No significant merger, acquisition, or divestiture activity in the past 1 – 5 years or expected in the future.","No significant merger, acquisition, or divestiture activity in the past 1 – 5 years or expected in the future.

Note:

Very Significant activity means: more than 5 major transactions, impacting >100% of revenue, significantly changing business structure or strategy. 

Significant activity means: 3-5 transactions, impacting 50%-100% of revenue, resulting in moderate changes to operations or scope. 

Low-level activity means: 2 or fewer transactions, impact < 25% of revenue, with minimal changes to business operations or strategy. "
