Broker,Rater,Industry
0,Unknown,Unknown
1,Single Family Dwellings,Habitational
2,Mid Rise Apartments - 5-9 stories,Habitational
3,Inns/Bed and Breakfasts,Hotels/Casino/Entertainment
4,Nursing Home,Health Services
5,Miscellaneous Retailers,Retail
6,General Warehousing and Storage - Multi Tenant,Storage and Wholesale Trade
7,Car Rental,Retail
8,Offices,Offices
9,Hospital,Health Services
10,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
11,Parking Garages,Light Industry
12,Metal Stamping,Heavy Industry
13,Machinery Manufacturing,Light Industry
14,Processed Food Manufacturing - Non-Frozen,Food
15,Inorganic Chemical Manufacturing,Heavy Industry
16,Metal Product Manufacturing,Light Industry
17,Semiconductor and Wafer Manufacturing,Heavy Industry
18,Construction Contractors,Light Industry
19,Petroleum Refineries,Oil/Petro/Gas
20,Livestock Farming,Agriculture/Farming
21,Metal Below,Mining
22,"Church, Mosque or Synagogue",Religious/Churches
23,Governmental Office & Administration,Govermental/Municipal
24,Hospital,Health Services
25,Schools,Education
26,Roads/Highways/Toll Roads,Transportation
27,Heavy Rail,Transportation
28,Other Support Facilities For Air Transportation,Transportation
29,Piers and Wharves,Transportation
30,Substations,Utilities
31,Water Supply and Irrigation Systems,Utilities
32,Water & Sewage Treatment Facilities,Utilities
33,Natural Gas Distribution,Utilities
34,Telecoms - Cable - Above,Communications
35,Tv and Radio Stations,Communications
36,Governmental Office & Administration,Govermental/Municipal
37,Miscellaneous Retailers,Retail
38,Gas Fired Power Stations,Utilities
39,Unknown,Unknown
41,Unknown,Unknown
42,Mid Rise Condos - 5-9 stories,Habitational
43,Mid Rise Condos - 5-9 stories,Habitational
44,Gas Petrol Stations,Retail
47,Restaurants - Not Fast Food,Retail
48,Casino,Hotels/Casino/Entertainment
49,Hospital,Health Services
50,Hospital,Health Services
51,Resort Hotel,Hotels/Casino/Entertainment
52,Full-Service Hotel,Hotels/Casino/Entertainment
54,Universities and Colleges,Education
 (2) 8'6 x 40 Weather Shelter Containers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
 2 Trailers,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
 2-40' Storage Containers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
 Energy Power Plant,T&D,Utilities
 Haz Waste 10 Day Storage Facility,Miscellaneous Waste Management,Heavy Industry
 Incl Silos  Bag House  Shredder,Single Family Dwellings,Habitational
 Lab Building,Laboratories,Health Services
 Lab/Pharmacy ,Laboratories,Health Services
 Lessor's Risk Only (Medical office),Medical Office,Health Services
 Lessor's Risk Only/Residential/Warehouse/Owner Occupied,Mid Rise Apartments - 5-9 stories,Habitational
 Lime System,Miscellaneous Waste Management,Heavy Industry
 Lumber Sheds,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
