BAIC_or_BIC,ModifierName,Min,Max,Confidence,States_All,States_WA
baic,step_3_mam,0.8,0.9,Very Confident,"No merger, acquisition, or divestiture activity in the past 10+ years or expected in the future.",
baic,step_3_mam,0.9,1.0,Confident,"No merger, acquisition, or divestiture activity in the past 5 – 10 years or expected in the future.",
baic,step_3_mam,1.0,1.0,Comfortable or Not Applicable,"No significant merger, acquisition, or divestiture activity in the past 1 – 5 years or expected in the future.",
baic,step_3_mam,1.0,1.1,Low Concern,"No significant merger, acquisition, or divestiture activity within the last year and/or low-level activity expected in the future.",
baic,step_3_mam,1.1,1.2,Material Concern,"Unsuccessful significant merger, acquisition, or divestiture activity in the past 3 – 5 years and/or activity expected in the future.",
baic,step_3_mam,1.2,1.3,High Concern,"Unsuccessful significant merger, acquisition, or divestiture activity in the past 2 – 3 years and/or significant activity expected in the future.",
baic,step_3_mam,1.3,1.5,Very High to Severe Concern,"Unsuccessful significant merger, acquisition, or divestiture activity within the last 2 years and/or very significant activity expected in the future.",
baic,step_4_pm,0.8,0.9,Very Confident,"Net Income is generally positive, revenue and expenses are healthy, and most significant aspects of the Income Statement are trending positive.",Organization has shown a profit the past 2 years and exceeded prior year’s results by 5% or more.
baic,step_4_pm,0.9,1.0,Confident,"Net Income, revenue and expenses are generally healthy, and some of the more significant aspects of the Income Statement are trending positive.",Organization has had a profit the past 2 years or has exceeded prior year’s results by 5% (if prior year was an operating loss).
baic,step_4_pm,1.0,1.0,Comfortable,"Overall mixed, but generally healthy and generally consistent Income Statement with limited large swings or variations year-over-year.","Organization has an operating income on the current income statement, but earnings growth is less than 5%."
baic,step_4_pm,1.0,1.1,Low Concern,"Generally unprofitable within any of the last 10 years and/or trending towards, or recently, unprofitable.",No earnings growth over prior year.
baic,step_4_pm,1.1,1.25,Material Concern,Overall unprofitable and/or trending and/or more often historically unprofitable in any of the last 5 years.,Organization has shown an operating loss in the current year.
baic,step_4_pm,1.25,1.5,High Concern,Overall concerning profitability. Historically unprofitable within the last 6 years.,Organization has shown operating loss for the past 2 years.
baic,step_4_pm,1.5,2.0,Very High to Severe Concern,Extremely unprofitable. Historically unprofitable within the last 5 years.,Organization has shown operating loss for more than 2 years or more and has a negative trend.
baic,step_5_qm,0.8,0.9,Very Confident,"Cash balances, debt leverage, overall liquidity and working capital are generally very healthy and most significant aspects of the balance sheet are trending positive and/or capacity to add significant debt for managing business needs going forward.","Positive fund balance and working capital for the past 2 years, increase in asset size by 5% or more."
baic,step_5_qm,0.9,1.0,Confident,"Cash balances, debt leverage, overall liquidity and working capital are generally healthy and some aspects of the balance sheet are trending positive and/or 
capacity to add to moderate debt for managing business needs going forward.","Current year’s fund balance and working capital are positive, but growth less than 5% over prior year’s results."
baic,step_5_qm,1.0,1.0,Comfortable,"Mixed health of the balance sheet, modest cash reserve and liquidity and/or 
capacity to access minimal debt for managing business needs going forward.","Positive fund balance for current year, long term debt compared to total asset size is positive."
baic,step_5_qm,1.0,1.1,Low Concern,"Concerns about the balance sheet and ability to meet existing needs, including the 
possibility that they may have difficulty accessing capital or other debt instruments for managing business needs going forward.","Negative fund balance in the current year, no growth of asset size over prior year."
baic,step_5_qm,1.1,1.25,Material Concern,"Significant concerns about the balance sheet, including the significant possibility that they will not be able to meet existing needs via cash balance and other liquid assets, with possible inability to access capital or other debt instruments to managing business needs going forward.","Negative working capital and fund balance for the past 2 years, negative trend."
baic,step_5_qm,1.25,1.5,High Concern,"High concerns about the balance sheet and unlikely ability to meet the existing needs, including the inability to access capital or other debt instruments for 
managing business needs going forward.","Going concern an issue, risk of bankruptcy, liquidation, or rehabilitation within the next 12 months."
baic,step_5_qm,1.5,2.0,Very High to Severe Concern,Extremely concerning balance sheet. Completely unable to access capital or other debt instruments for managing business needs going forward and/or has a going concern (as mentioned by company auditors).,"Organization is now in or emerging from bankruptcy, liquidation, or rehabilitation (Chapter 7 or 11)."
baic,step_6_cm,0.8,0.9,Very Confident,"Cash flow, capital expenditures and financing activities are generally healthy, and most significant aspects of the cash flows are trending positive.","Organization has positive cash flow from operating, investing and financing activities for the past 2 years and exceeds prior year results by 5% or more."
baic,step_6_cm,0.9,1.0,Confident,"Cash flow, capital expenditures and financing activities are generally healthy, and a number of significant aspects of the cash flows are trending positive.",Organization has positive cash flow from at least two of the operating activities for the past 2 years or with an increase over the prior year by 5% or more.
baic,step_6_cm,1.0,1.0,Comfortable,"Overall mixed but generally healthy cash flows, capital expenditures and financing activities.",Organization has positive cash flow from operating activities with less than 5% over prior year results.
baic,step_6_cm,1.0,1.1,Low Concern,"Negative or concerning cash flows, capital expenditures and/or financing activities in any 1 – 2 of the 5 prior years.",Organization has no cash flow from operations in the current year.
baic,step_6_cm,1.1,1.25,Material Concern,"Negative or concerning cash flows, capital expenditures and financing activities in a majority of the 5 prior years.",Organization has a negative cash flow from operating activities for the past 2 years.
baic,step_6_cm,1.25,1.5,High Concern,"Negative or concerning cash flows, capital expenditures and/or financing activities in a majority of the 10 prior years.","Organization has negative cash flows from operating, investing and financing activities or has had a decrease in cash flow from operating activities from the prior year."
baic,step_6_cm,1.5,2.0,Very High to Severe Concern,"Very negative or significantly concerning cash flows, capital expenditures and financing activities in a majority of the 10 prior years.","Negative cash flows from all activities for past 3 years, negative trend and going concern issue."
baic,step_8_em,1.0,1.15,Poor,Significant top level management turnover in the last 3 years; average experience of management <5 years; no formal management evaluation practices.,Average industry experience of management is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation. Turnover of management team greater than 75%.
